Model,Model Parameters,Train Accuracy,Test Accuracy,Train F1 Score,Test F1 Score,Train Precision,Test Precision,Train Recall,Test Recall,Train Roc Auc Score,Test Roc Auc Score
LR,"{'solver': 'saga', 'l1_ratio': 0.2, 'C': 100}",0.9548872180451128,0.8823529411764706,0.9519192718638703,0.877262443438914,0.9487179487179487,0.8888888888888888,1.0,0.96,0.8636363636363636,0.8133333333333335
SVM,"{'kernel': 'linear', 'gamma': 'scale', 'degree': 2}",0.9323308270676691,0.8529411764705882,0.9249487354750513,0.8423973362930078,0.925,0.8571428571428571,1.0,0.96,0.7954545454545454,0.7577777777777779
NB,{'var_smoothing': np.float64(0.1)},0.7969924812030075,0.7647058823529411,0.8181043742360828,0.775866077656359,0.9565217391304348,0.9047619047619048,0.7927927927927928,0.76,0.8054873054873054,0.7688888888888888
knn,"{'weights': 'distance', 'n_neighbors': 7, 'metric': 'euclidean'}",1.0,0.8823529411764706,1.0,0.8699035169623405,1.0,0.8620689655172413,1.0,1.0,1.0,0.7777777777777778
DT,"{'splitter': 'best', 'max_features': 'log2', 'max_depth': 3, 'criterion': 'entropy'}",0.9097744360902256,0.8529411764705882,0.9097744360902256,0.8500576701268744,0.9459459459459459,0.8846153846153846,0.9459459459459459,0.92,0.8366093366093367,0.7933333333333333
RF,"{'n_estimators': 500, 'min_samples_split': 15, 'max_features': 8, 'max_depth': 5}",0.9398496240601504,0.8529411764705882,0.9373744094750148,0.8553105452707399,0.9478260869565217,0.9166666666666666,0.9819819819819819,0.88,0.8546273546273546,0.8288888888888888
XGB,"{'n_estimators': 200, 'max_depth': 8, 'learning_rate': 0.1, 'colsample_bytree': 0.3}",0.9849624060150376,0.8823529411764706,0.9849624060150376,0.877262443438914,0.990990990990991,0.8888888888888888,0.990990990990991,0.96,0.9727682227682228,0.8133333333333335
gradientBoost,"{'n_estimators': 200, 'min_samples_split': 15, 'max_depth': 5, 'loss': 'exponential', 'criterion': 'squared_error'}",1.0,0.8529411764705882,1.0,0.8553105452707399,1.0,0.9166666666666666,1.0,0.88,1.0,0.8288888888888888
AB,{'n_estimators': 50},0.9774436090225563,0.8529411764705882,0.976768751146158,0.8500576701268744,0.9736842105263158,0.8846153846153846,1.0,0.92,0.9318181818181819,0.7933333333333333
